9985	302	348
1049	304	2094
12780	50	9071
477	306	3732
9791	308	5094
12781	310	12782
12783	204	4420
12784	0	611
2246	312	7578
4128	0	12785
6936	18	12786
234	314	10691
6816	304	2506
1491	312	3175
3466	316	10324
1805	18	12787
2130	318	136
455	320	1609
8175	322	2336
7530	312	972
11032	304	8905
803	306	3732
12788	24	225
12789	302	9813
6894	324	11027
3331	302	3757
2714	304	3609
425	32	12790
7692	310	12782
12791	312	2190
2312	326	724
4824	318	7
6386	218	12792
12793	320	2423
6769	304	4521
3651	328	61
12447	308	5095
12794	310	11542
487	304	3451
10416	330	463
12795	318	12796
532	318	8961
521	302	10569
9120	318	10109
1426	320	781
4607	332	4237
6876	32	12790
12797	318	7
11311	328	61
8749	174	12798
9323	318	12796
10376	210	12799
12800	318	1306
11513	310	11542
7436	314	61
1813	112	12801
2871	304	2693
283	310	12782
12802	160	3431
6927	322	10962
10484	216	12803
142	304	1522
3538	206	12804
4063	334	12805
4126	84	12806
1449	336	12807
895	254	12808
4603	338	192
5482	312	10413
1110	318	12809
2980	318	1230
12810	340	10677
10065	318	128
9377	60	12807
4582	204	12811
3653	32	12812
2332	2	12813
2627	304	10925
9114	32	12814
3196	32	12815
12816	28	5163
10555	318	1706
2848	318	10913
589	318	815
4034	304	4742
2743	302	12817
2712	312	6321
1945	32	12818
12819	78	7
9609	336	12807
12820	304	2770
1395	310	11542
12821	20	12822
10624	338	902
1575	302	9096
4849	304	4044
2216	304	6946
12244	310	11542
3055	342	10208
3643	324	8780
4067	322	12823
12824	344	12825
12826	24	7
12827	28	3819
6659	308	5094
905	346	6295
4192	304	1648
9865	308	5095
5685	348	12828
5107	318	493
3636	304	3099
11652	318	12829
9183	320	12830
11465	206	12804
10982	318	850
12831	8	5893
12832	212	2297
12382	350	7014
12833	344	622
126	304	2587
5094	182	12834
680	352	5108
12835	168	3388
11172	32	12836
3047	228	12837
12838	216	7232
12839	90	5883
4106	322	5414
11117	248	12797
74	304	3570
6825	304	9138
12840	304	715
8771	326	4004
12841	186	3175
9138	32	12818
12842	304	7831
8732	32	12843
12844	320	12845
